start	end	action	reward
6.0	3.0	0.0	5836.0
3.0	4.0	3.0	-2062.0
4.0	5.0	0.0	-5255.0
5.0	7.0	0.0	-2342.0
7.0	4.0	0.0	-21749.0
4.0	0.0	0.0	26639.0
0.0	3.0	0.0	11989.0
5.0	6.0	4.0	107346.0
6.0	1.0	1.0	-11119.0
1.0	9.0	3.0	8554.0
9.0	8.0	3.0	6291.0
8.0	2.0	0.0	4181.0
2.0	0.0	3.0	265.0
0.0	7.0	3.0	2643.0
7.0	4.0	0.0	-11419.0
4.0	5.0	0.0	19491.0
5.0	6.0	2.0	-104464.0
6.0	3.0	0.0	-2195.0
3.0	8.0	2.0	2407.0
8.0	1.0	0.0	-14976.0
1.0	9.0	0.0	-7334.0
1.0	7.0	3.0	-4229.0
7.0	9.0	0.0	14918.0
9.0	0.0	3.0	3169.0
0.0	5.0	3.0	-4591.0
5.0	3.0	0.0	12497.0
3.0	2.0	3.0	-3737.0
2.0	6.0	0.0	19719.0
6.0	4.0	3.0	3182.0
4.0	2.0	0.0	619.0
2.0	5.0	0.0	4898.0
5.0	1.0	1.0	15258.0
1.0	0.0	1.0	-12290.0
0.0	6.0	3.0	5975.0
6.0	9.0	0.0	-5203.0
8.0	9.0	3.0	11217.0
9.0	7.0	0.0	1254.0
7.0	4.0	3.0	3344.0
4.0	5.0	0.0	-4869.0
5.0	6.0	3.0	24841.0
6.0	2.0	3.0	-11594.0
2.0	9.0	2.0	-1524.0
9.0	3.0	3.0	9369.0
3.0	1.0	1.0	-11336.0
1.0	0.0	1.0	9336.0
0.0	8.0	0.0	-18411.0
8.0	1.0	0.0	-1617.0
1.0	0.0	0.0	21433.0
0.0	3.0	0.0	-12328.0
5.0	9.0	0.0	-2740.0
9.0	2.0	0.0	17576.0
2.0	6.0	4.0	103095.0
6.0	7.0	1.0	10966.0
7.0	3.0	0.0	-641.0
3.0	7.0	0.0	3329.0
7.0	0.0	3.0	1465.0
0.0	5.0	0.0	2279.0
5.0	9.0	1.0	-4980.0
9.0	4.0	0.0	-1716.0
4.0	1.0	1.0	-4094.0
1.0	6.0	2.0	-94800.0
6.0	2.0	0.0	-394.0
2.0	8.0	3.0	-2350.0
3.0	7.0	3.0	1134.0
7.0	6.0	1.0	-6012.0
6.0	5.0	0.0	-8994.0
5.0	0.0	0.0	5661.0
0.0	2.0	3.0	10306.0
2.0	4.0	0.0	-3879.0
4.0	1.0	0.0	18781.0
1.0	9.0	3.0	-12658.0
9.0	5.0	3.0	-2185.0
5.0	4.0	0.0	14137.0
4.0	3.0	2.0	324.0
3.0	1.0	1.0	380.0
1.0	2.0	2.0	-6472.0
2.0	0.0	0.0	6478.0
7.0	6.0	1.0	-4108.0
6.0	8.0	3.0	3087.0
8.0	7.0	2.0	258.0
7.0	3.0	3.0	-914.0
3.0	5.0	0.0	3209.0
5.0	1.0	1.0	1268.0
1.0	6.0	4.0	101880.0
6.0	4.0	3.0	6209.0
4.0	0.0	0.0	-4062.0
0.0	9.0	0.0	7090.0
9.0	2.0	0.0	354.0
2.0	4.0	2.0	6580.0
4.0	7.0	0.0	-22422.0
7.0	6.0	0.0	14043.0
1.0	6.0	0.0	-2226.0
6.0	9.0	1.0	712.0
9.0	5.0	0.0	-22802.0
5.0	8.0	3.0	16884.0
8.0	3.0	3.0	-1034.0
3.0	2.0	0.0	-812.0
2.0	5.0	0.0	8245.0
5.0	9.0	0.0	-1791.0
9.0	4.0	3.0	2447.0
4.0	7.0	3.0	2280.0
7.0	1.0	4.0	102926.0
1.0	6.0	4.0	102864.0
6.0	0.0	0.0	-11529.0
0.0	8.0	2.0	1932.0
8.0	0.0	3.0	5839.0
0.0	5.0	0.0	-2695.0
5.0	9.0	3.0	8545.0
9.0	3.0	3.0	-5519.0
3.0	2.0	0.0	16322.0
2.0	7.0	3.0	-1661.0
7.0	4.0	0.0	-15217.0
4.0	6.0	0.0	-14073.0
6.0	4.0	0.0	-17042.0
4.0	7.0	2.0	547.0
7.0	5.0	0.0	-9218.0
5.0	1.0	0.0	3442.0
1.0	3.0	1.0	-4645.0
3.0	9.0	0.0	6483.0
0.0	9.0	0.0	-14659.0
9.0	2.0	0.0	11236.0
2.0	8.0	3.0	-1540.0
8.0	7.0	3.0	5970.0
7.0	1.0	3.0	6103.0
1.0	0.0	0.0	-6541.0
0.0	9.0	1.0	23565.0
9.0	4.0	3.0	-9411.0
4.0	5.0	0.0	8413.0
5.0	3.0	3.0	-1327.0
3.0	6.0	4.0	100007.0
6.0	9.0	3.0	-7877.0
9.0	2.0	3.0	19955.0
2.0	3.0	0.0	3880.0
0.0	1.0	1.0	-2301.0
1.0	5.0	1.0	-1525.0
5.0	7.0	0.0	-13978.0
7.0	4.0	3.0	5928.0
4.0	8.0	3.0	-1194.0
8.0	1.0	4.0	102953.0
1.0	3.0	0.0	6369.0
3.0	7.0	0.0	9885.0
7.0	0.0	0.0	-298.0
0.0	2.0	3.0	8775.0
2.0	4.0	0.0	-545.0
4.0	6.0	0.0	-11027.0
6.0	9.0	0.0	9534.0
9.0	5.0	0.0	765.0
7.0	0.0	0.0	13943.0
0.0	8.0	0.0	-13553.0
8.0	6.0	3.0	31981.0
6.0	4.0	0.0	-37191.0
4.0	5.0	0.0	8134.0
5.0	3.0	0.0	1365.0
3.0	2.0	3.0	18009.0
2.0	1.0	3.0	12250.0
1.0	4.0	1.0	-15374.0
4.0	6.0	4.0	104262.0
6.0	5.0	0.0	-25887.0
5.0	0.0	0.0	-611.0
0.0	9.0	0.0	-5212.0
9.0	2.0	0.0	11587.0
2.0	3.0	0.0	9328.0
3.0	7.0	3.0	9720.0
7.0	5.0	3.0	-10075.0
5.0	8.0	0.0	-7332.0
8.0	6.0	0.0	13077.0
6.0	2.0	0.0	-7878.0
2.0	4.0	0.0	22627.0
4.0	0.0	0.0	6759.0
0.0	9.0	0.0	-12637.0
9.0	3.0	3.0	6062.0
3.0	1.0	1.0	-4893.0
1.0	0.0	0.0	-4823.0
0.0	9.0	3.0	27950.0
9.0	5.0	0.0	-2060.0
4.0	5.0	0.0	809.0
5.0	8.0	3.0	10009.0
8.0	7.0	3.0	8888.0
7.0	6.0	1.0	-11281.0
6.0	3.0	0.0	4709.0
3.0	5.0	3.0	10313.0
5.0	0.0	0.0	8959.0
0.0	9.0	3.0	68.0
9.0	7.0	0.0	2347.0
7.0	2.0	0.0	21728.0
2.0	4.0	1.0	-23957.0
4.0	1.0	3.0	10614.0
1.0	8.0	2.0	2988.0
8.0	6.0	1.0	-15967.0
0.0	8.0	3.0	8310.0
8.0	2.0	0.0	-11017.0
2.0	5.0	0.0	25244.0
5.0	1.0	3.0	3598.0
1.0	9.0	0.0	-15600.0
9.0	4.0	0.0	943.0
4.0	6.0	0.0	-5443.0
6.0	7.0	0.0	-224.0
7.0	0.0	0.0	12787.0
0.0	5.0	3.0	8935.0
5.0	9.0	0.0	-10648.0
9.0	2.0	3.0	19673.0
2.0	1.0	1.0	-17714.0
1.0	3.0	0.0	12626.0
6.0	3.0	0.0	3011.0
3.0	8.0	0.0	-4882.0
8.0	5.0	0.0	7449.0
5.0	0.0	0.0	1264.0
0.0	9.0	3.0	11704.0
9.0	4.0	0.0	-6204.0
4.0	6.0	0.0	-19264.0
6.0	7.0	3.0	-3042.0
7.0	2.0	0.0	6965.0
2.0	1.0	1.0	-119.0
1.0	3.0	1.0	6624.0
3.0	7.0	2.0	-13301.0
7.0	1.0	3.0	3675.0
1.0	6.0	0.0	7453.0
9.0	6.0	4.0	102457.0
6.0	5.0	0.0	-16281.0
5.0	2.0	0.0	4754.0
2.0	8.0	3.0	16738.0
8.0	4.0	0.0	-4635.0
4.0	6.0	0.0	1086.0
6.0	1.0	0.0	5354.0
1.0	5.0	1.0	-9400.0
5.0	3.0	0.0	-1604.0
3.0	0.0	3.0	4975.0
0.0	9.0	0.0	143.0
9.0	2.0	3.0	-11395.0
2.0	7.0	0.0	14462.0
7.0	8.0	2.0	-13172.0
9.0	8.0	0.0	2703.0
8.0	5.0	0.0	-6425.0
5.0	1.0	1.0	-7301.0
1.0	7.0	0.0	5569.0
7.0	6.0	0.0	2078.0
6.0	0.0	3.0	20049.0
0.0	2.0	3.0	945.0
2.0	4.0	3.0	-4027.0
4.0	2.0	0.0	8440.0
2.0	5.0	0.0	3651.0
5.0	6.0	3.0	-2037.0
6.0	9.0	2.0	2920.0
9.0	7.0	3.0	-10405.0
7.0	8.0	3.0	10579.0
0.0	1.0	1.0	224.0
1.0	8.0	0.0	3836.0
8.0	1.0	4.0	101073.0
1.0	5.0	0.0	-1889.0
5.0	9.0	0.0	-8708.0
9.0	6.0	1.0	-10797.0
6.0	0.0	1.0	18963.0
0.0	2.0	0.0	9101.0
2.0	7.0	0.0	2121.0
7.0	3.0	3.0	343.0
3.0	4.0	3.0	18484.0
4.0	0.0	0.0	-5356.0
0.0	1.0	2.0	-105081.0
1.0	5.0	1.0	8749.0
7.0	5.0	3.0	-5323.0
5.0	3.0	3.0	9893.0
3.0	9.0	3.0	3240.0
9.0	6.0	4.0	103291.0
6.0	2.0	3.0	-957.0
2.0	5.0	0.0	2893.0
5.0	3.0	2.0	-1601.0
3.0	0.0	0.0	4753.0
0.0	4.0	3.0	4413.0
4.0	8.0	3.0	-3963.0
8.0	6.0	0.0	11564.0
6.0	1.0	1.0	-18961.0
1.0	7.0	0.0	16295.0
7.0	9.0	0.0	7551.0
1.0	5.0	1.0	4990.0
5.0	2.0	0.0	-2286.0
2.0	6.0	0.0	1457.0
6.0	3.0	3.0	17206.0
3.0	7.0	3.0	-724.0
7.0	9.0	3.0	-188.0
9.0	4.0	0.0	-9726.0
4.0	8.0	0.0	10366.0
8.0	5.0	0.0	-2615.0
5.0	9.0	0.0	-708.0
9.0	2.0	0.0	14406.0
2.0	0.0	3.0	6361.0
0.0	6.0	0.0	-8243.0
6.0	1.0	1.0	-21843.0
1.0	3.0	1.0	-10328.0
3.0	4.0	0.0	5922.0
4.0	0.0	3.0	4106.0
0.0	5.0	0.0	3104.0
5.0	3.0	3.0	7039.0
3.0	7.0	3.0	-1270.0
7.0	1.0	0.0	7413.0
1.0	9.0	0.0	-19211.0
9.0	2.0	0.0	7881.0
2.0	6.0	0.0	9322.0
6.0	8.0	0.0	4366.0
8.0	2.0	0.0	-4869.0
2.0	0.0	0.0	16429.0
0.0	9.0	0.0	-2797.0
5.0	1.0	0.0	10787.0
1.0	9.0	0.0	-6049.0
9.0	6.0	3.0	-3328.0
6.0	3.0	3.0	-12513.0
3.0	7.0	3.0	20733.0
7.0	3.0	2.0	-619.0
3.0	0.0	3.0	-775.0
0.0	9.0	0.0	-6845.0
9.0	2.0	0.0	3144.0
2.0	8.0	3.0	8380.0
8.0	6.0	1.0	-194.0
6.0	4.0	3.0	-4230.0
4.0	1.0	1.0	1492.0
1.0	5.0	0.0	6393.0
1.0	8.0	0.0	11837.0
8.0	9.0	0.0	11555.0
9.0	0.0	0.0	-1361.0
0.0	2.0	3.0	-2351.0
2.0	3.0	0.0	22961.0
3.0	6.0	0.0	-7723.0
6.0	4.0	0.0	-10194.0
4.0	7.0	0.0	-23929.0
7.0	5.0	0.0	8382.0
